region,ingredient,count,tf,idf,weight
africa,adobo,1,0.0015384615384615385,1.1786549963416462,0.001813315378987148
africa,adobo sauce,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,agave,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,ajwain,1,0.0015384615384615385,2.5649493574615367,0.0039460759345562105
africa,ale,1,0.0015384615384615385,1.3121863889661687,0.0020187482907171824
africa,allspice,28,0.043076923076923075,0.12260232209233228,0.005281330797823544
africa,almond,61,0.09384615384615384,0.03922071315328133,0.0036807130805387093
africa,amaranth,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,anchovy,1,0.0015384615384615385,0.26236426446749106,0.00040363732994998626
africa,anise,4,0.006153846153846154,0.4855078157817008,0.0029877404048104664
africa,anise star,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,apple,7,0.010769230769230769,0.12260232209233228,0.001320332699455886
africa,apple juice,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,apricot,55,0.08461538461538462,0.26236426446749106,0.022200053147249245
africa,artichoke,4,0.006153846153846154,0.6190392084062235,0.0038094720517306063
africa,asafoetida,1,0.0015384615384615385,2.159484249353372,0.0033222834605436493
africa,asparagu,1,0.0015384615384615385,0.36772478012531734,0.0005657304309620267
africa,avocado,4,0.006153846153846154,0.2135741002980591,0.0013143021556803636
africa,bacon,4,0.006153846153846154,0.08004270767353636,0.0004925705087602237
africa,baking powder,15,0.023076923076923078,0.0,0.0
africa,baking soda,4,0.006153846153846154,0.12260232209233228,0.0007544758282605063
africa,bamboo shoot,2,0.003076923076923077,0.36772478012531734,0.0011314608619240533
africa,banana,5,0.007692307692307693,0.08004270767353636,0.0006157131359502797
africa,barley,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,bas,5,0.007692307692307693,0.4855078157817008,0.0037346755060130837
africa,basil,10,0.015384615384615385,0.12260232209233228,0.001886189570651266
africa,basmati,6,0.009230769230769232,0.6190392084062235,0.00571420807759591
africa,bay leaf,44,0.06769230769230769,0.03922071315328133,0.0026549405826836593
africa,bean,8,0.012307692307692308,0.08004270767353636,0.0009851410175204475
africa,bean green,7,0.010769230769230769,0.12260232209233228,0.001320332699455886
africa,bean kidney,3,0.004615384615384616,0.4855078157817008,0.00224080530360785
africa,bean red kidney,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,bean string,1,0.0015384615384615385,1.466337068793427,0.0022559031827591182
africa,beef,44,0.06769230769230769,0.03922071315328133,0.0026549405826836593
africa,beet,5,0.007692307692307693,0.4248831939652659,0.0032683322612712764
africa,bouillon,21,0.03230769230769231,0.08004270767353636,0.0025859951709911746
africa,brandy,3,0.004615384615384616,0.3136575588550416,0.0014476502716386536
africa,bread,23,0.03538461538461538,0.03922071315328133,0.0013878098500391854
africa,bread pita,4,0.006153846153846154,0.8602012652231116,0.005293546247526841
africa,bread white,5,0.007692307692307693,0.16705408466316624,0.0012850314204858942
africa,bread whole wheat,1,0.0015384615384615385,0.550046336919272,0.0008462251337219568
africa,broccoli,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,brussel sprout,1,0.0015384615384615385,0.550046336919272,0.0008462251337219568
africa,bulgur,2,0.003076923076923077,1.466337068793427,0.0045118063655182365
africa,buttermilk,2,0.003076923076923077,0.36772478012531734,0.0011314608619240533
africa,butternut squash,21,0.03230769230769231,0.36772478012531734,0.011880339050202561
africa,cabbage,17,0.026153846153846153,0.08004270767353636,0.0020934246622309506
africa,cake mix,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,canola oil,20,0.03076923076923077,0.12260232209233228,0.003772379141302532
africa,caper,5,0.007692307692307693,0.4248831939652659,0.0032683322612712764
africa,caraway,23,0.03538461538461538,0.4855078157817008,0.01717950732766018
africa,cardamom,34,0.052307692307692305,0.3136575588550416,0.016406703078571405
africa,carrot,109,0.1676923076923077,0.0,0.0
africa,cassava,5,0.007692307692307693,1.466337068793427,0.011279515913795593
africa,catfish,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,cauliflower,8,0.012307692307692308,0.36772478012531734,0.004525843447696213
africa,cayenne,110,0.16923076923076924,0.12260232209233228,0.020748085277163927
africa,celery,31,0.047692307692307694,0.03922071315328133,0.0018705263196180327
africa,cereal,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,champagne,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,chard,3,0.004615384615384616,0.550046336919272,0.0025386754011658707
africa,chayote,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,cheddar  cheese,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,cheese,2,0.003076923076923077,0.08004270767353636,0.00024628525438011187
africa,cheese cheddar,1,0.0015384615384615385,0.08004270767353636,0.00012314262719005593
africa,cheese cottage,3,0.004615384615384616,0.550046336919272,0.0025386754011658707
africa,cheese cream,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,cheese feta,4,0.006153846153846154,0.6190392084062235,0.0038094720517306063
africa,cheese goat,4,0.006153846153846154,0.550046336919272,0.0033849005348878273
africa,cheese parmesan,6,0.009230769230769232,0.26236426446749106,0.0024218239796999176
africa,cheese ricotta,3,0.004615384615384616,0.6931471805599453,0.003199140833353594
africa,cherry,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,cherry tomato,10,0.015384615384615385,0.16705408466316624,0.0025700628409717884
africa,chervil,3,0.004615384615384616,0.9555114450274363,0.0044100528232035524
africa,chestnut,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,chicken,176,0.27076923076923076,0.0,0.0
africa,chickpea,61,0.09384615384615384,0.8602012652231116,0.08072658027478431
africa,chile powder,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,chive,3,0.004615384615384616,0.08004270767353636,0.00036942788157016786
africa,chocolate,4,0.006153846153846154,0.16705408466316624,0.0010280251363887153
africa,cider vinegar,6,0.009230769230769232,0.03922071315328133,0.0003620373521841354
africa,cilantro,157,0.24153846153846154,0.12260232209233228,0.029613176259224872
africa,cinnamon,188,0.28923076923076924,0.0,0.0
africa,clam,2,0.003076923076923077,0.16705408466316624,0.0005140125681943577
africa,clove,36,0.055384615384615386,0.0,0.0
africa,coconut,6,0.009230769230769232,0.16705408466316624,0.001542037704583073
africa,coconut milk,8,0.012307692307692308,0.3136575588550416,0.0038604007243697425
africa,coconut oil,2,0.003076923076923077,0.6931471805599453,0.0021327605555690626
africa,cod,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,coffee,7,0.010769230769230769,0.16705408466316624,0.0017990439886802518
africa,cooking oil,2,0.003076923076923077,0.36772478012531734,0.0011314608619240533
africa,cooking spray,4,0.006153846153846154,0.12260232209233228,0.0007544758282605063
africa,coriander,86,0.13230769230769232,0.08004270767353636,0.010590265938344811
africa,coriander seed,43,0.06615384615384616,0.16705408466316624,0.01105127021617869
africa,corn,2,0.003076923076923077,0.3136575588550416,0.0009651001810924356
africa,corn bread,1,0.0015384615384615385,2.159484249353372,0.0033222834605436493
africa,corn chip,2,0.003076923076923077,1.8718021769015913,0.005759391313543358
africa,corn oil,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,cornstarch,10,0.015384615384615385,0.08004270767353636,0.0012314262719005595
africa,couscou,104,0.16,0.550046336919272,0.08800741390708351
africa,crab,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,cranberry,3,0.004615384615384616,0.3136575588550416,0.0014476502716386536
africa,cream,15,0.023076923076923078,0.0,0.0
africa,cucumber,18,0.027692307692307693,0.12260232209233228,0.0033951412271722788
africa,cumin,256,0.39384615384615385,0.08004270767353636,0.03152451256065432
africa,currant,6,0.009230769230769232,0.4248831939652659,0.0039219987135255315
africa,curry leaf,1,0.0015384615384615385,1.3121863889661687,0.0020187482907171824
africa,curry powder,33,0.05076923076923077,0.16705408466316624,0.008481207375206901
africa,daikon,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,date,14,0.021538461538461538,0.26236426446749106,0.005650922619299807
africa,dill,6,0.009230769230769232,0.26236426446749106,0.0024218239796999176
africa,dressing ranch,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,drumstick leaf,5,0.007692307692307693,0.4248831939652659,0.0032683322612712764
africa,duck,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,eggplant,22,0.033846153846153845,0.3136575588550416,0.010616101992016793
africa,fennel,15,0.023076923076923078,0.12260232209233228,0.002829284355976899
africa,fenugreek,5,0.007692307692307693,1.1786549963416462,0.00906657689493574
africa,feta  cheese,2,0.003076923076923077,0.9555114450274363,0.002940035215469035
africa,fig,4,0.006153846153846154,0.6190392084062235,0.0038094720517306063
africa,fish,6,0.009230769230769232,0.16705408466316624,0.001542037704583073
africa,flax seed,1,0.0015384615384615385,1.6486586255873816,0.002536397885519049
africa,flour,66,0.10153846153846154,0.03922071315328133,0.003982410874025489
africa,food coloring,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,garam masala,5,0.007692307692307693,0.7731898882334817,0.005947614524872936
africa,garbanzo,21,0.03230769230769231,0.550046336919272,0.017770727808161094
africa,gelatin,1,0.0015384615384615385,0.2135741002980591,0.0003285755389200909
africa,gin,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,ginger,144,0.22153846153846155,0.03922071315328133,0.00868889645241925
africa,goat milk,1,0.0015384615384615385,1.1786549963416462,0.001813315378987148
africa,graham cracker,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,grape,1,0.0015384615384615385,0.4248831939652659,0.0006536664522542552
africa,green chile,9,0.013846153846153847,0.3136575588550416,0.004342950814915961
africa,green chili,1,0.0015384615384615385,1.466337068793427,0.0022559031827591182
africa,green chily,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,grit  corn,1,0.0015384615384615385,1.466337068793427,0.0022559031827591182
africa,guinea hen,1,0.0015384615384615385,1.6486586255873816,0.002536397885519049
africa,habanero,14,0.021538461538461538,0.4248831939652659,0.009151330331559572
africa,half half,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,halibut,7,0.010769230769230769,0.26236426446749106,0.0028254613096499034
africa,hamburger,2,0.003076923076923077,0.6190392084062235,0.0019047360258653031
africa,harissa,36,0.055384615384615386,1.1786549963416462,0.06527935364353733
africa,hazelnut,3,0.004615384615384616,0.4855078157817008,0.00224080530360785
africa,hen  guinea,7,0.010769230769230769,0.550046336919272,0.005923575936053698
africa,herbe de provence,2,0.003076923076923077,0.9555114450274363,0.002940035215469035
africa,honey,63,0.09692307692307692,0.12260232209233228,0.011882994295102974
africa,hot  chocolate,2,0.003076923076923077,0.9555114450274363,0.002940035215469035
africa,hot sauce,4,0.006153846153846154,0.16705408466316624,0.0010280251363887153
africa,ice,2,0.003076923076923077,0.12260232209233228,0.00037723791413025315
africa,ice cream,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,italian seasoning,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,jalapeno,9,0.013846153846153847,0.08004270767353636,0.0011082836447105034
africa,jasmine,2,0.003076923076923077,0.6190392084062235,0.0019047360258653031
africa,kaffir beer,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,kale,3,0.004615384615384616,0.26236426446749106,0.0012109119898499588
africa,ketchup,3,0.004615384615384616,0.16705408466316624,0.0007710188522915366
africa,kiwi,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,kumquat,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,lamb,73,0.1123076923076923,0.2135741002980591,0.023986014341166637
africa,leek,9,0.013846153846153847,0.03922071315328133,0.0005430560282762031
africa,lemon,128,0.19692307692307692,0.0,0.0
africa,lemon juice,112,0.1723076923076923,0.0,0.0
africa,lentil,25,0.038461538461538464,0.4248831939652659,0.01634166130635638
africa,lettuce,5,0.007692307692307693,0.12260232209233228,0.000943094785325633
africa,lime,24,0.036923076923076927,0.12260232209233228,0.004526854969563039
africa,liquid smoke,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,lobster,2,0.003076923076923077,0.4248831939652659,0.0013073329045085104
africa,macaroni,2,0.003076923076923077,0.6931471805599453,0.0021327605555690626
africa,mace,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,mackerel,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,mandarin,3,0.004615384615384616,0.6931471805599453,0.003199140833353594
africa,mango,9,0.013846153846153847,0.36772478012531734,0.00509157387865824
africa,margarine,6,0.009230769230769232,0.16705408466316624,0.001542037704583073
africa,marjoram,5,0.007692307692307693,0.550046336919272,0.004231125668609784
africa,marzipan,1,0.0015384615384615385,1.466337068793427,0.0022559031827591182
africa,mascarpone,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,mayonnaise,8,0.012307692307692308,0.03922071315328133,0.0004827164695788471
africa,meatball,1,0.0015384615384615385,1.1786549963416462,0.001813315378987148
africa,milk,33,0.05076923076923077,0.0,0.0
africa,milk powder,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,millet,3,0.004615384615384616,1.0608719606852626,0.004896332126239674
africa,mint,65,0.1,0.16705408466316624,0.016705408466316626
africa,mixed vegetable,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,monkfish,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,mullet,1,0.0015384615384615385,1.8718021769015913,0.002879695656771679
africa,mushroom,6,0.009230769230769232,0.16705408466316624,0.001542037704583073
africa,mushroom oyster,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,mussel,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,mustard,12,0.018461538461538463,0.03922071315328133,0.0007240747043682707
africa,mustard oil,1,0.0015384615384615385,2.5649493574615367,0.0039460759345562105
africa,mutton,2,0.003076923076923077,1.6486586255873816,0.005072795771038098
africa,nigella seed,1,0.0015384615384615385,1.8718021769015913,0.002879695656771679
africa,nutmeg,27,0.04153846153846154,0.08004270767353636,0.0033248509341315103
africa,okra,8,0.012307692307692308,0.6190392084062235,0.007618944103461213
africa,onion red,54,0.08307692307692308,0.03922071315328133,0.003258336169657218
africa,onion spring,2,0.003076923076923077,0.4248831939652659,0.0013073329045085104
africa,orange,52,0.08,0.03922071315328133,0.0031376570522625062
africa,oregano,11,0.016923076923076923,0.12260232209233228,0.0020748085277163923
africa,papaya,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,paprika,115,0.17692307692307693,0.08004270767353636,0.014161402126856433
africa,parmesan  cheese,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,parsley,137,0.21076923076923076,0.03922071315328133,0.008266519541537757
africa,parsnip,4,0.006153846153846154,0.4855078157817008,0.0029877404048104664
africa,pasta,5,0.007692307692307693,0.3136575588550416,0.002412750452731089
africa,paste  tomato,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,pastry,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,pea,16,0.024615384615384615,0.08004270767353636,0.001970282035040895
africa,pea black eyed,8,0.012307692307692308,0.9555114450274363,0.01176014086187614
africa,pea chick,3,0.004615384615384616,1.0608719606852626,0.004896332126239674
africa,peach,2,0.003076923076923077,0.550046336919272,0.0016924502674439137
africa,peanut,11,0.016923076923076923,0.4248831939652659,0.0071903309747968075
africa,peanut butter,32,0.04923076923076923,0.4855078157817008,0.02390192323848373
africa,peanut oil,17,0.026153846153846153,0.26236426446749106,0.006861834609149766
africa,pear,2,0.003076923076923077,0.26236426446749106,0.0008072746598999725
africa,pecan,3,0.004615384615384616,0.4248831939652659,0.0019609993567627658
africa,pepper bell,80,0.12307692307692308,0.0,0.0
africa,pepper sweet,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,pepper white,13,0.02,0.12260232209233228,0.0024520464418466455
africa,peppermint,1,0.0015384615384615385,1.3121863889661687,0.0020187482907171824
africa,phyllo,12,0.018461538461538463,0.6931471805599453,0.012796563333414376
africa,pie crust,1,0.0015384615384615385,0.550046336919272,0.0008462251337219568
africa,pimiento,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,pine,10,0.015384615384615385,0.4855078157817008,0.007469351012026167
africa,pineapple,4,0.006153846153846154,0.12260232209233228,0.0007544758282605063
africa,pistachio,9,0.013846153846153847,0.6190392084062235,0.008571312116393864
africa,pita  bread,5,0.007692307692307693,0.9555114450274363,0.007350088038672588
africa,pizza,2,0.003076923076923077,0.36772478012531734,0.0011314608619240533
africa,plantain french,3,0.004615384615384616,0.8602012652231116,0.003970159685645131
africa,pomegranate,7,0.010769230769230769,0.6931471805599453,0.007464661944491718
africa,pork,2,0.003076923076923077,0.0,0.0
africa,port wine,1,0.0015384615384615385,0.4248831939652659,0.0006536664522542552
africa,potato,40,0.06153846153846154,0.0,0.0
africa,potato sweet,33,0.05076923076923077,0.16705408466316624,0.008481207375206901
africa,poultry seasoning,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,prawn,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,prune,16,0.024615384615384615,0.3136575588550416,0.007720801448739485
africa,puff pastry,5,0.007692307692307693,0.3136575588550416,0.002412750452731089
africa,pumpkin,10,0.015384615384615385,0.26236426446749106,0.004036373299499863
africa,quail,3,0.004615384615384616,0.6190392084062235,0.002857104038797955
africa,quinoa,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,radish,4,0.006153846153846154,0.2135741002980591,0.0013143021556803636
africa,raisin,64,0.09846153846153846,0.08004270767353636,0.00788112814016358
africa,red chile,20,0.03076923076923077,0.26236426446749106,0.008072746598999725
africa,red chili,2,0.003076923076923077,0.550046336919272,0.0016924502674439137
africa,red chily,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,relish,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,rice,26,0.04,0.08004270767353636,0.003201708306941454
africa,rice brown,8,0.012307692307692308,0.4248831939652659,0.005229331618034042
africa,rice wild,1,0.0015384615384615385,1.3121863889661687,0.0020187482907171824
africa,rose,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,rosemary,8,0.012307692307692308,0.2135741002980591,0.0026286043113607272
africa,rutabaga,3,0.004615384615384616,1.1786549963416462,0.005439946136961444
africa,saffron,52,0.08,0.4855078157817008,0.038840625262536066
africa,sage,3,0.004615384615384616,0.26236426446749106,0.0012109119898499588
